plot,species,individual,height,sla
7,Anthyllis cornicina,3,5.5,19.54892436
7,Anthyllis cornicina,4,4.2,14.79552093
7,Anthyllis cornicina,5,6.2,18.13718897
7,Anthyllis cornicina,6,5.5,21.51138716
7,Anthyllis cornicina,7,5.7,19.25799087
7,Anthyllis cornicina,8,7.2,24.16166467
7,Anthyllis cornicina,9,4.9,20.98529412
7,Anthyllis cornicina,10,6.0,21.66407465
7,Biserrula pelecinus,1,2.8,24.96598639
7,Biserrula pelecinus,2,3.4,27.22527473
7,Biserrula pelecinus,3,4.1,23.58565737
7,Biserrula pelecinus,4,0.9,25.58823529
7,Biserrula pelecinus,5,1.3,24.24657534
7,Biserrula pelecinus,6,2.4,29.68973747
7,Biserrula pelecinus,7,0.5,27.70642202
7,Biserrula pelecinus,8,2.5,27.960199
7,Biserrula pelecinus,9,1.6,27.11111111
7,Biserrula pelecinus,10,3.1,32.93918919
7,Bromus rubens,3,10.0,21.67331
7,Bromus rubens,6,5.9,24.77987
7,Bromus rubens,7,6.4,16.07339
7,Bromus rubens,10,8.2,26.14108
7,Plantago lagopus,1,6.0,16.6359447
7,Plantago lagopus,2,4.0,16.46174863
7,Plantago lagopus,3,7.0,18.46950518
7,Plantago lagopus,4,3.6,16.30551817
7,Plantago lagopus,5,6.6,18.94086022
7,Plantago lagopus,6,7.2,23.90286976
7,Plantago lagopus,7,5.5,23.83469844
7,Plantago lagopus,8,4.6,23.3559322
7,Plantago lagopus,9,6.3,20.76115486
7,Trifolium cherleri,1,4.5,19.39849624
7,Trifolium cherleri,2,5.7,17.82268579
7,Trifolium cherleri,3,4.3,20.82417582
7,Trifolium cherleri,4,4.0,20.88167053
7,Trifolium cherleri,5,3.8,16.73142857
7,Trifolium cherleri,6,2.0,23.89324961
7,Trifolium cherleri,7,4.5,28.64768683
7,Trifolium cherleri,8,3.0,25.41666667
7,Trifolium cherleri,9,3.7,23.97894737
7,Trifolium cherleri,10,2.8,25.44534413
8,Anthyllis cornicina,1,15.5,14.32457143
8,Anthyllis cornicina,2,4.5,14.86618005
8,Anthyllis cornicina,3,5.0,14.94968855
8,Anthyllis cornicina,4,6.0,18.15277268
8,Anthyllis cornicina,5,4.0,21.8
8,Anthyllis cornicina,6,6.0,18.66873065
8,Anthyllis cornicina,7,11.0,17.52161383
8,Anthyllis cornicina,8,7.5,21.72399503
8,Anthyllis cornicina,9,14.0,17.82273008
8,Anthyllis cornicina,10,5.5,18.5483871
8,Biserrula pelecinus,1,4.5,18.05025126
8,Biserrula pelecinus,2,3.0,16.24463519
8,Biserrula pelecinus,3,2.5,15.42491269
8,Biserrula pelecinus,4,5.0,20.45372051
